qseqid,sseqid,organism,pident,qcovs,evalue,bitscore,strong_homologues
ABR20103.1,QBY35563.1,Vinca minor,70.278,82.22,2.39e-180,511.0,39
ADP00410.1,A0A075D5I4.1,Rauvolfia serpentina,71.28,84.43,8.31e-154,439.0,21
AFD64744.1,A0A7G5KLV3.1,Cananga odorata,78.965,86.14,0.0,930.0,49
sp|A0A161CAI1|T3R_CATRO,WPM01482.1,Rauvolfia tetraphylla,66.482,80.33,6.77e-174,495.0,35
sp|A0A1B1FHP3|DPAS_CATRO,A0A5B8X8Z0.1,Tabernanthe iboga,86.538,94.78,0.0,645.0,42
sp|A0A2P1GIW2|CS_CATRO,A0A5B8X6S2.1,Tabernanthe iboga,72.59,84.64,5.1e-178,503.0,28
sp|A0A2P1GIW3|TS_CATRO,AYE56105.1,Tabernaemontana elegans,83.962,90.25,0.0,550.0,31
sp|A0A2P1GIW4|REDX1_CATRO,YBV67930.1,Tabernanthe iboga,85.1,91.98,0.0,593.0,48
sp|A0A2P1GIW7|SAT_CATRO,YBV67932.1,Tabernanthe iboga,77.197,89.79,0.0,690.0,3
sp|A0A2P1GIY9|REDX2_CATRO,XUJ55406.1,Amsonia tabernaemontana,84.83,93.5,0.0,584.0,47
sp|A0A2S1XB67|ASO_CATRO,A0A5B8XB28.1,Tabernanthe iboga,72.83,84.91,0.0,804.0,45
sp|B2KPR3|LAMT_CATRO,XHC56420.1,Ochrosia elliptica,86.29,91.13,0.0,658.0,47
sp|I1TEM0|GO_CATRO,XLS40686.1,Voacanga thouarsii,92.016,97.21,0.0,976.0,30
sp|I1TEM1|T3O_CATRO,YCQ69669.1,Vinca minor,69.565,83.6,0.0,708.0,42
sp|K7WDL7|IRIS_CATRO,AMB61018.1,Lonicera japonica,98.966,99.22,0.0,788.0,34
sp|O04847|DV4H_CATRO,KAM7462967.1,Lonicera macranthoides,61.236,79.78,2.29e-162,468.0,44
sp|P17770|TDC_CATRO,WMM65729.1,Rauvolfia tetraphylla,88.8,94.8,0.0,928.0,47
sp|P18417|STSY_CATRO,P68175.1,Rauvolfia serpentina,78.977,89.2,0.0,562.0,25
sp|Q05047|SLS1_CATRO,AGX93047.1,Rauvolfia serpentina,93.321,96.56,0.0,1030.0,44
sp|Q8VWZ7|C76B6_CATRO,AGX93053.1,Rauvolfia serpentina,89.388,95.31,0.0,922.0,49
sp|Q9ZTK5|DAT_CATRO,A0A9E7S5E3.1,Alstonia scholaris,54.186,69.07,7.959999999999999e-147,432.0,0
sp|U5HKE8|C71DZ_CATRO,XDF89438.1,Tabernaemontana litoralis,61.493,76.42,0.0,653.0,41
sp|U5NE19|7DLH_CATRO,AGX93059.1,Rauvolfia serpentina,92.322,96.16,0.0,1002.0,49
sp|U5NH37|7DLGT_CATRO,XHC56418.1,Ochrosia elliptica,92.324,97.51,0.0,919.0,47
sp|W8JIS5|IO_CATRO,AHX24367.1,Rauvolfia serpentina,94.912,98.04,0.0,1016.0,48
sp|W8JWV8|8HGO_CATRO,XYA23379.1,Carapichea ipecacuanha,87.302,93.39,0.0,676.0,49
sp|W8JWW7|GS_CATRO,A0A9E7LUR3.1,Alstonia scholaris,91.484,97.53,0.0,702.0,46
tr|Q9M7N7|Q9M7N7_CATRO,AFI71457.1,Rauvolfia verticillata,71.351,80.0,0.0,799.0,6
