Enzyme,Mean_identity,Mean_query_coverage,Conserved_positions,,,,
DAT,"42,1","59,4",109,,,"42,1","59,4"
SAT,"58,6","74,6",140,,,"58,6","74,6"
T3O,"58,7",76,255,,,"58,7",76
D4H,60,"77,9",151,,,60,"77,9"
T16H,60,"76,2",224,,,60,"76,2"
SGD,"64,5","75,8",155,,,"64,5","75,8"
T3R,"65,8","79,9",187,,,"65,8","79,9"
