0,1
B0EXJ8.1,Catharanthus roseus
KAI5660804.1,Catharanthus roseus
KAI5661763.1,Catharanthus roseus
QBY35563.1,Vinca minor
AAR02419.1,Catharanthus roseus
KAI5661762.1,Catharanthus roseus
XIT78073.1,Tabernaemontana elegans
AAR02421.1,Catharanthus roseus
XUJ55405.1,Tabernaemontana elegans
XIT78072.1,Tabernaemontana elegans
Q8GSN1.1,Catharanthus roseus
AAR02417.1,Catharanthus roseus
XIT78074.1,Tabernaemontana elegans
KAI5661758.1,Catharanthus roseus
KAI7980043.1,Camellia lanceoleosa
KAL7215887.1,Camellia fascicularis
AXK92565.1,Gelsemium sempervirens
KAI8008204.1,Camellia lanceoleosa
GMP67410.1,Camellia sinensis var. sinensis
KAI7980042.1,Camellia lanceoleosa
AXF35975.1,Tabernanthe iboga
A0A2Z5P0W7.2,Tabernanthe iboga
KAI8008205.1,Camellia lanceoleosa
XP_028119738.2,Camellia sinensis
XP_027061110.1,Coffea arabica
CDP15886.1,Coffea canephora
XP_027173032.1,Coffea eugenioides
XP_027061142.1,Coffea arabica
KAL3538437.1,Cinchona calisaya
XP_027062010.1,Coffea arabica
XP_027065046.1,Coffea arabica
XP_027172158.1,Coffea eugenioides
XP_027172147.1,Coffea eugenioides
XP_027171256.1,Coffea eugenioides
XP_027062011.1,Coffea arabica
CDP19709.1,Coffea canephora
XP_071904244.1,Coffea arabica
XP_027062348.1,Coffea arabica
KAI5661771.1,Catharanthus roseus
KAL3509282.1,Cinchona calisaya
AAM97498.1,Catharanthus roseus
KAI8558531.1,Rhododendron molle
CAR6233909.1,Salix hastata
XP_027172146.1,Coffea eugenioides
KAL3509278.1,Cinchona calisaya
KAA8526317.1,Nyssa sinensis
XP_058210860.1,Rhododendron vialii
KAG6737942.1,Populus tomentosa
KAH7844778.1,Vaccinium darrowii
KAL7185435.1,Camellia fascicularis
U5NH37.1,Catharanthus roseus
AGX93072.1,Catharanthus longifolius
U3U992.1,Catharanthus roseus
XHC56418.1,Ochrosia elliptica
AGX93068.1,Amsonia hubrichtii
AGX93069.1,Rauvolfia serpentina
AGX93071.1,Vinca minor
WIE96231.1,Mitragyna speciosa
AGX93070.1,Tabernaemontana elegans
XYA23381.1,Carapichea ipecacuanha
AGX93067.1,Cinchona calisaya
KAL3521160.1,Cinchona calisaya
CAI9091610.1,Oldenlandia corymbosa var. corymbosa
KAL2548758.1,Forsythia ovata
KAL2548807.1,Forsythia ovata
CAN8727478.1,Galium boreale
CAN8703582.1,Galium boreale
CAN8738110.1,Galium boreale
AKI87764.1,Gentiana crassa subsp. rigescens
KAK2975665.1,Escallonia rubra
KAK3031053.1,Escallonia herrerae
KAK3031054.1,Escallonia herrerae
KAL2548747.1,Forsythia ovata
XP_071934566.1,Coffea arabica
XP_027155763.1,Coffea eugenioides
AGX93066.1,Lonicera japonica
KAM7482486.1,Lonicera macranthoides
KAM7479166.1,Lonicera macranthoides
CAI9775661.1,Fraxinus pennsylvanica
ALV83447.1,Olea europaea subsp. europaea
KAL2525783.1,Abeliophyllum distichum
XP_022869718.1,Olea europaea var. sylvestris
XP_022855172.1,Olea europaea var. sylvestris
KAL2525782.1,Abeliophyllum distichum
XP_022855173.1,Olea europaea var. sylvestris
XP_027109740.2,Coffea arabica
CAA3017168.1,Olea europaea subsp. europaea
KAH7839427.1,Vaccinium darrowii
KAM7482485.1,Lonicera macranthoides
KAM7479165.1,Lonicera macranthoides
CAA3011328.1,Olea europaea subsp. europaea
KAA8539652.1,Nyssa sinensis
XP_022855174.1,Olea europaea var. sylvestris
KAL3523920.1,Cinchona calisaya
CAA3022364.1,Olea europaea subsp. europaea
CAI9772955.1,Fraxinus pennsylvanica
KAL3523921.1,Cinchona calisaya
CAI9772953.1,Fraxinus pennsylvanica
CAA3022363.1,Olea europaea subsp. europaea
XP_058181841.1,Rhododendron vialii
U5NE19.1,Catharanthus roseus
AGX93059.1,Rauvolfia serpentina
XHC56419.1,Ochrosia elliptica
AGX93058.1,Amsonia hubrichtii
AGX93060.1,Tabernaemontana elegans
AGX93061.1,Vinca minor
AGX93057.1,Cinchona calisaya
KAL3508818.1,Cinchona calisaya
WIE96232.1,Mitragyna speciosa
QWX38540.1,Ophiorrhiza pumila
XYA23382.1,Carapichea ipecacuanha
CAI9088915.1,Oldenlandia corymbosa var. corymbosa
QNS30009.1,Nothapodytes nimmoniana
QBM10924.1,Swertia mussotii
BBI55003.1,Swertia japonica
AKI87771.1,Gentiana crassa subsp. rigescens
ALJ10970.1,Gentiana crassa subsp. rigescens
AKI87763.1,Gentiana crassa subsp. rigescens
CAN8777553.1,Galium boreale
CAN8800300.1,Galium boreale
CAN8781707.1,Galium boreale
AGX93056.1,Lonicera japonica
KAM7498549.1,Lonicera macranthoides
KAM7503867.1,Lonicera macranthoides
KAK3009358.1,Escallonia herrerae
KAK3011388.1,Escallonia herrerae
KAK2992117.1,Escallonia rubra
AIL49061.1,Nothapodytes nimmoniana
KAM7492486.1,Lonicera macranthoides
KAK2992116.1,Escallonia rubra
CAI9088913.1,Oldenlandia corymbosa var. corymbosa
KAK3011389.1,Escallonia herrerae
CAN8800302.1,Galium boreale
XP_059650995.1,Cornus florida
KAM7517455.1,Lonicera macranthoides
XYA23390.1,Alangium salviifolium
KAM7513623.1,Lonicera macranthoides
CAN8781706.1,Galium boreale
CAN8795004.1,Galium boreale
CAN8777551.1,Galium boreale
WMD26768.1,Camptotheca acuminata
QOI02196.1,Camptotheca acuminata
KAA8524065.1,Nyssa sinensis
UNP59806.1,Camptotheca acuminata
KAM7495357.1,Lonicera macranthoides
KAM7492488.1,Lonicera macranthoides
XP_027164185.1,Coffea eugenioides
WZH35016.1,Gardenia jasminoides
