qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qcovs,organism
ABR20103.1,QBY35563.1,70.278,360,100,6,1,355,1,358,2.3899999999999996e-180,511.0,82.22,Vinca minor
ABR20103.1,XIT78073.1,64.365,362,117,6,1,355,3,359,4.66e-157,452.0,75.69,Tabernaemontana elegans
ABR20103.1,XUJ55405.1,64.365,362,117,6,1,355,3,359,1.33e-156,451.0,75.41,Tabernaemontana elegans
ABR20103.1,XIT78072.1,63.812,362,119,6,1,355,3,359,9.23e-156,449.0,75.41,Tabernaemontana elegans
ABR20103.1,XIT78074.1,63.812,362,119,6,1,355,3,359,8.14e-152,439.0,74.31,Tabernaemontana elegans
ABR20103.1,KAI7980043.1,59.331,359,137,5,1,355,5,358,1.74e-145,423.0,73.26,Camellia lanceoleosa
ABR20103.1,KAL7215887.1,58.774,359,139,5,1,355,5,358,2.8600000000000005e-144,420.0,72.98,Camellia fascicularis
ABR20103.1,AXK92565.1,58.989,356,137,5,4,355,6,356,4.81e-144,419.0,74.16,Gelsemium sempervirens
ABR20103.1,KAI8008204.1,58.774,359,139,5,1,355,5,358,1.72e-143,418.0,73.26,Camellia lanceoleosa
ABR20103.1,GMP67410.1,58.774,359,139,5,1,355,5,358,2.07e-143,417.0,72.42,Camellia sinensis var. sinensis
ABR20103.1,KAI7980042.1,58.939,358,139,5,1,355,5,357,3.68e-143,417.0,73.18,Camellia lanceoleosa
ABR20103.1,AXF35975.1,62.674,359,123,7,3,355,3,356,4.23e-143,417.0,76.6,Tabernanthe iboga
ABR20103.1,A0A2Z5P0W7.2,62.674,359,123,7,3,355,1,354,5.48e-143,416.0,76.6,Tabernanthe iboga
ABR20103.1,KAI8008205.1,58.939,358,139,5,1,355,5,357,9.73e-143,416.0,72.91,Camellia lanceoleosa
ABR20103.1,XP_028119738.2,58.496,359,140,5,1,355,5,358,1.38e-142,416.0,72.42,Camellia sinensis
ABR20103.1,XP_027061110.1,57.835,351,135,5,7,355,45,384,8.58e-142,414.0,74.36,Coffea arabica
ABR20103.1,CDP15886.1,58.12,351,134,5,7,355,9,348,1.14e-141,413.0,73.79,Coffea canephora
ABR20103.1,XP_027173032.1,57.55,351,136,5,7,355,9,348,2.15e-141,412.0,73.79,Coffea eugenioides
ABR20103.1,XP_027061142.1,57.835,351,135,5,7,355,9,348,3.72e-141,411.0,74.07,Coffea arabica
ABR20103.1,KAL3538437.1,57.224,353,139,5,5,355,7,349,4.84e-141,411.0,73.94,Cinchona calisaya
ABR20103.1,XP_027062010.1,57.835,351,135,5,7,355,9,348,5.69e-141,411.0,74.07,Coffea arabica
ABR20103.1,XP_027065046.1,58.12,351,134,5,7,355,9,348,7.24e-141,410.0,73.79,Coffea arabica
ABR20103.1,XP_027172158.1,57.835,351,135,5,7,355,45,384,1.26e-140,411.0,73.79,Coffea eugenioides
ABR20103.1,XP_027172147.1,57.835,351,135,5,7,355,45,384,1.8899999999999998e-140,411.0,73.79,Coffea eugenioides
ABR20103.1,XP_027171256.1,57.55,351,136,5,7,355,9,348,2.2299999999999997e-140,409.0,73.79,Coffea eugenioides
ABR20103.1,XP_027062011.1,58.571,350,132,5,7,354,9,347,4.49e-140,409.0,74.0,Coffea arabica
ABR20103.1,CDP19709.1,57.265,351,137,5,7,355,9,348,7.829999999999999e-140,408.0,73.79,Coffea canephora
ABR20103.1,XP_071904244.1,57.143,350,137,5,7,354,9,347,3.0699999999999998e-139,407.0,73.71,Coffea arabica
ABR20103.1,XP_027062348.1,57.265,351,137,5,7,355,9,348,5.7199999999999996e-139,406.0,73.5,Coffea arabica
ABR20103.1,KAL3509282.1,59.27,356,131,7,4,355,6,351,1.16e-138,405.0,73.31,Cinchona calisaya
ABR20103.1,KAI8558531.1,55.462,357,151,5,2,355,6,357,1.17e-137,403.0,73.67,Rhododendron molle
ABR20103.1,CAR6233909.1,56.303,357,148,5,2,355,7,358,1.41e-137,403.0,73.67,Salix hastata
ABR20103.1,XP_027172146.1,57.353,340,133,4,7,344,9,338,1.69e-137,402.0,74.12,Coffea eugenioides
ABR20103.1,KAL3509278.1,55.932,354,144,5,4,355,6,349,2.18e-137,402.0,73.16,Cinchona calisaya
ABR20103.1,KAA8526317.1,57.865,356,139,7,5,355,10,359,1.3e-136,400.0,73.6,Nyssa sinensis
ABR20103.1,XP_058210860.1,54.902,357,153,5,2,355,6,357,1.5399999999999999e-136,400.0,73.39,Rhododendron vialii
